NACA 4415-2
 1.0000000     0.0000000
 0.9905728     0.0044648
 0.9742437     0.0093807
 0.9554211     0.0149071
 0.9345346     0.0208651
 0.9122015     0.0270355
 0.8889740     0.0332369
 0.8652204     0.0393546
 0.8411637     0.0453228
 0.8169295     0.0511058
 0.7925850     0.0566848
 0.7681672     0.0620502
 0.7437026     0.0671953
 0.7192127     0.0721131
 0.6947114     0.0767960
 0.6702045     0.0812382
 0.6456958     0.0854346
 0.6211870     0.0893806
 0.5966825     0.0930723
 0.5721900     0.0965056
 0.5477275     0.0996758
 0.5233304     0.1025728
 0.4990353     0.1051811
 0.4748700     0.1074844
 0.4508682     0.1094689
 0.4271010     0.1111163
 0.4036485     0.1123902
 0.3805304     0.1132530
 0.3577441     0.1136728
 0.3352645     0.1136221
 0.3130603     0.1130835
 0.2911204     0.1120459
 0.2694537     0.1105004
 0.2480807     0.1084398
 0.2270366     0.1058615
 0.2063833     0.1027712
 0.1862071     0.0991857
 0.1666545     0.0951500
 0.1479512     0.0907191
 0.1302976     0.0859399
 0.1138437     0.0808715
 0.0987155     0.0756080
 0.0850084     0.0702705
 0.0727715     0.0649969
 0.0619920     0.0599120
 0.0525803     0.0551065
 0.0444189     0.0506271
 0.0373712     0.0464161
 0.0312794     0.0424014
 0.0260005     0.0385348
 0.0214140     0.0347920
 0.0174180     0.0311649
 0.0139269     0.0276560
 0.0108718     0.0242665
 0.0081932     0.0209983
 0.0058767     0.0178273
 0.0039400     0.0147110
 0.0024010     0.0116237
 0.0012725     0.0085632
 0.0005415     0.0055434
 0.0001766     0.0026014
 0.0001470    -0.0002558
 0.0004643    -0.0031468
 0.0011772    -0.0060829
 0.0022929    -0.0090071
 0.0038076    -0.0118948
 0.0057192    -0.0147172
 0.0080353    -0.0174452
 0.0107688    -0.0200500
 0.0139350    -0.0225065
 0.0175563    -0.0247924
 0.0216705    -0.0268837
 0.0263310    -0.0287691
 0.0316136    -0.0304665
 0.0376267    -0.0320457
 0.0445107    -0.0336354
 0.0524088    -0.0353675
 0.0614732    -0.0372247
 0.0718707    -0.0391361
 0.0837253    -0.0409810
 0.0971631    -0.0426072
 0.1122844    -0.0439095
 0.1291229    -0.0447953
 0.1477021    -0.0451988
 0.1680564    -0.0451176
 0.1901347    -0.0446432
 0.2135125    -0.0440037
 0.2374029    -0.0435227
 0.2617074    -0.0433873
 0.2867423    -0.0435137
 0.3123318    -0.0437782
 0.3381974    -0.0440311
 0.3642306    -0.0441734
 0.3905044    -0.0442102
 0.4170392    -0.0441931
 0.4436907    -0.0441714
 0.4703475    -0.0441778
 0.4970186    -0.0442002
 0.5235759    -0.0442011
 0.5499557    -0.0441516
 0.5761424    -0.0440561
 0.6019605    -0.0439934
 0.6271295    -0.0440439
 0.6514576    -0.0442656
 0.6747125    -0.0444847
 0.6966559    -0.0442663
 0.7178797    -0.0433101
 0.7391848    -0.0416034
 0.7609598    -0.0392123
 0.7834480    -0.0362020
 0.8068098    -0.0326527
 0.8310662    -0.0286922
 0.8559926    -0.0245375
 0.8811296    -0.0204090
 0.9060402    -0.0163907
 0.9302056    -0.0125388
 0.9528121    -0.0089566
 0.9729879    -0.0057663
 0.9902056    -0.0030462
 1.0000000     0.0000000
